Food Group,Major Food Code,Minor Food Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,,"Cakes and pastries, not frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,51,55,58,58,59,60,70,67,72
,,Takeaway pastries,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,7,7,8,9,9,9,8,11,11,10,10,11,8,9,10,12,11,11,11,12,13,13,13,14,16,16,17,2,2,2,3,3,3,3,3,4
Biscuits and crispbreads,,,12,15,16,19,21,24,27,28,30,31,31,32,34,36,38,40,42,44,46,46,45,46,53,51,50,49,52,49,54,51,54,54,56,56,64,66,67,71,74,76,76,75,76,77,77,77,84,84,84,84,99
,Crispbread,,4,4,5,5,7,8,9,10,11,12,12,13,13,15,16,17,17,18,19,20,20,20,24,23,23,22,23,22,24,21,20,20,20,19,22,24,24,25,25,25,26,25,4,4,4,4,4,4,4,4,5
,Biscuits other than chocolate,,7,10,11,13,13,15,17,17,18,17,18,18,20,20,20,21,23,24,25,24,23,23,27,26,25,24,26,25,28,28,31,31,33,35,39,39,40,42,46,46,46,45,45,44,44,44,49,46,49,47,54
,,Sweet biscuits (not chocolate) and cereal bars,6,8,9,10,11,12,14,14,15,14,15,15,16,16,17,17,19,20,20,20,19,19,22,22,21,20,22,21,24,23,26,27,28,30,35,34,35,37,40,40,39,38,38,37,37,36,40,37,40,38,45
,,Cream crackers and other unsweetened biscuits,1,2,2,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,8,8,9,9,9,9,9
,Chocolate biscuits,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,4,4,5,4,4,27,29,29,29,31,34,32,33,40
Other cereals and cereal products,,,11,13,15,18,21,25,30,34,36,38,42,46,53,58,64,72,80,92,100,97,98,118,125,130,130,136,142,166,165,167,166,173,178,182,191,201,211,214,225,229,231,237,240,243,248,259,270,274,247,259,291
,Oatmeal and oat products,,0,0,0,1,1,1,1,1,1,1,1,2,2,2,3,2,2,3,2,1,1,1,1,2,1,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,6
,Breakfast cereals,,4,5,5,6,7,8,10,11,12,13,15,16,18,20,21,23,25,28,30,30,32,32,34,34,34,34,35,35,36,37,37,39,39,39,40,43,43,44,44,47,46,43,42,40,41,41,45,44,42,39,44
,,Muesli,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,4,4,4,4,4,5,4,5,4,5,5,6,5,6,6,7,7,6,7,7,8,8,7,7,9
,,High fibre breakfast cereals,1,2,2,2,3,3,4,4,4,5,6,6,7,8,8,9,10,11,11,11,12,12,13,13,14,12,12,14,14,15,15,16,16,16,16,17,17,17,16,17,17,16,16,15,15,14,16,15,15,14,15
,,Sweetened breakfast cereals,1,1,1,2,2,2,2,3,3,3,4,4,5,5,5,6,6,7,8,7,9,9,9,9,9,12,12,11,11,11,11,10,10,10,11,13,11,12,11,12,13,12,11,12,12,12,13,12,12,11,13
,,Other breakfast cereals,1,1,1,2,2,2,3,3,3,4,4,4,5,5,6,6,7,8,8,8,8,8,10,8,9,7,7,7,7,8,7,8,9,8,9,9,9,11,11,12,10,8,8,7,7,7,8,9,8,7,7
,Canned milk puddings,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,6
,,Canned or fresh carton custard,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4
,,All canned milk puddings,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,2,2
,Puddings,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,4,4,4,5,5,4,5,5,6,6,6,5,5,5,5,5,5,6,5,5,5,6,6,8
,Rice,,1,1,1,1,1,1,2,2,2,2,2,2,3,4,3,4,4,5,6,6,6,12,16,16,15,16,15,22,22,22,23,23,24,25,27,29,28,28,30,31,32,32,32,31,29,32,34,28,23,27,31
,,Dried rice,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,7,9,9,7,8,8,7,8,8,8,8,9,8,11,11,10,11,11,11,11,12,12,8,10,11,11,11,8,11,12
,,Cooked rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,2,2,3,4,5,5,5,6,6,7,7,7,9,8,7,9,8,8,7,10
,,Takeaway rice,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,5,6,7,7,7,6,13,12,13,13,13,13,13,12,13,13,12,14,14,14,13,14,14,12,13,14,9,8,8,9
,"Invalid foods, slimming foods and sports foods",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,2,2,4,2,3,5,4,6,6,7,6,6,7,6,8,11,11,9,15,7,17
,Infant cereal foods,,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2
,Cakes and pastries - frozen,,0,0,1,1,1,1,2,3,3,2,3,3,3,3,4,5,6,6,7,8,8,8,7,6,6,6,6,4,4,4,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3
,Pasta,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,9,11,12,15,15,14,14,14,14,15,17,19,20,19,20,20,19,18,18,19,21,22,20,25,20,29,26
,,Canned pasta,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,3
,,Dried and fresh pasta,,,,,,,,,,,,,,,,,,,,,,,,,6,8,9,11,11,10,11,10,10,11,13,14,15,15,16,16,15,14,15,15,16,17,16,19,16,25,22
,,Takeaway pasta and noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2,3,2
,Pizza,,0,0,0,0,0,0,0,1,1,3,3,4,5,6,8,10,14,14,17,19,19,28,27,29,31,35,34,44,41,43,43,47,46,51,49,47,54,55,61,57,57,66,68,71,71,76,77,75,61,69,76
,,"Pizzas, frozen and not frozen",0,0,0,0,0,0,0,0,0,3,3,3,4,5,6,8,10,11,12,14,13,16,18,20,20,21,19,22,21,21,22,23,23,23,24,25,26,26,28,29,28,31,30,31,35,35,34,38,36,43,43
,,Takeaway pizza,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,4,5,6,5,12,9,10,11,14,14,23,20,22,22,24,23,28,25,21,28,29,33,27,29,35,38,40,36,41,43,37,26,26,34
,Other cereal convenience foods,,2,3,4,5,6,7,9,11,12,8,9,10,12,12,13,16,17,22,24,19,20,22,24,26,24,24,28,33,35,33,31,32,34,33,35,38,42,41,43,47,50,52,51,52,56,56,60,70,63,64,71
,,"Cake, pudding and dessert mixes",0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2
,,Cereal snacks,1,1,1,1,1,1,1,1,2,1,2,2,3,3,3,4,4,6,6,5,6,7,6,7,8,7,8,11,12,10,9,9,9,9,10,12,13,13,14,16,17,17,17,16,18,18,20,23,21,21,26
,,"Quiches and flans, frozen and not frozen",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,6,5,5,5,5,5,5,5,5,6,5,6,5,5,7,6,6,7,7,7,6
,,"Takeaway crisps, savoury snacks, popcorn, popadums, prawn crackers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
,,"Other cereal foods, frozen and not frozen",1,2,2,3,3,4,6,7,7,3,4,5,6,6,7,8,9,12,13,10,10,11,13,13,11,12,14,14,13,14,13,14,16,15,17,18,21,19,20,21,24,25,25,27,27,28,29,34,32,34,35
,Other cereals,,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,3
Beverages,,,12,13,17,27,29,30,32,31,31,37,43,47,50,48,49,50,50,53,50,49,50,51,53,51,56,49,50,44,42,41,42,41,42,43,44,48,51,51,56,54,56,59,59,59,59,62,67,74,72,64,72
,Tea,,6,6,7,14,13,13,13,14,14,17,20,21,19,19,19,19,21,23,21,19,20,19,19,19,21,19,19,18,18,16,16,16,16,16,16,18,19,18,18,18,17,16,16,17,14,15,17,17,16,16,18
,Coffee beans and ground coffee,,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,2,3,3,3,4,4,4,4,5,4,3,3,4,3,3,3,4,4,4,5,5,8,7,12,13,13,14,16,17,22,24,25,21,23
,Instant coffee,,4,5,6,9,11,12,13,12,12,14,17,19,22,21,21,21,19,20,18,19,21,21,22,20,24,17,19,19,17,17,18,17,18,18,20,22,21,22,24,24,22,24,24,22,25,25,22,25,24,22,23
,Coffee essences,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Tea and coffee from takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,2,3
,Cocoa and chocolate drinks,,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,3,4,3,3,2,2,2,3,3,4,4,4,3,2,2,2,3,3,3,3,3,3,3,4,4,3,4,4,4,2,3,5,5,5,3,5
,Malt drinks and chocolate versions of malted drinks,,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,3,3,5,6,6,5,5,5,5,3,4,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Other food and drink,,,12,15,17,20,21,24,28,32,33,37,39,41,45,47,51,56,61,69,75,76,78,82,88,94,96,96,105,113,116,118,123,124,128,130,135,144,144,148,159,162,159,157,158,164,167,181,182,211,187,202,213
,Mineral or spring waters,,,,,,,,,,,0,0,1,1,1,1,3,3,4,6,5,5,6,6,7,8,8,8,8,8,9,10,10,12,10,9,9,10,10,12,12,14,14,14,15,16,18,15,13,15,16,19
,Baby foods,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,4,3,5,4,4,5,5,5,4,5,3,4,5,4,2,3,4,4
,Soups - canned or cartons,,2,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,8,7,9,9,10,9,10,10,11,11,12,12,12,12,13,14,14,15,17,16,14,14,15,13,16,14,15,16,13,15,14
,Soups - dehydrated or powdered,,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
,Soups - from takeaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1
,Other takeaway food brought home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
,Meals on wheels - items not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,1,1,0,1,1,1,0,0,,,,0,0,0,0,0,0,0
,Spreads and dressings,,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,6,6,6,7,8,10,11,11,13,13,13,14,15,16,16,17,18,20,18,18,18,17,18,21,20,23,20,21,25
,,Salad dressings,0,1,1,1,1,1,1,1,2,2,2,2,3,2,3,3,3,3,4,4,4,4,5,5,6,6,7,9,10,10,11,11,11,12,12,13,13,14,14,15,14,14,14,12,13,15,15,15,16,16,19
,,Other spreads and dresssings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,5,5,5,5,5,7,5,8,5,5,6
,Pickles and sauces,,2,3,3,4,4,5,6,7,7,8,8,8,9,9,11,12,13,15,17,20,19,21,23,26,28,28,32,32,32,32,33,33,35,36,36,40,40,41,42,44,43,41,40,43,41,43,44,52,47,51,55
,,Pickles,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4
,,Sauces,2,3,3,3,4,4,5,6,6,7,7,7,8,8,9,10,11,13,15,16,16,17,19,22,24,23,27,27,27,27,29,29,30,32,32,36,36,36,38,39,38,37,36,38,35,37,38,45,42,45,49
,,Takeaway sauces and mayonnnaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,2
,Stock cubes and meat and yeast extracts,,1,1,1,2,2,2,2,3,2,3,3,3,3,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,5,6,5,5,4,4,5,5,4,4,4
,Jelly squares or crystals,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2
,Ice cream tub or block,,1,1,2,2,3,3,4,4,5,5,5,5,6,6,7,8,9,10,10,9,10,10,8,6,6,8,8,9,9,10,9,9,10,9,10,10,10,11,12,12,11,11,11,11,11,14,15,21,15,14,13
,Ice cream products including takeaways,,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,5,5,6,6,7,7,9,11,13,12,11,13,12,12,12,12,11,12,11,12,12,12,13,13,14,15,15,15,16,17,22,20,24,24,23,26
,,"Ice cream cornets, choc-ices, lollies with ice cream",0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,5,5,5,6,7,8,10,10,8,10,8,9,8,8,8,8,7,8,9,9,8,9,9,10,10,10,11,11,14,13,17,16,16,17
,,"Ice lollies, sorbet, frozen mousse, frozen yoghurt",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,6,5,5,5,5,6
,,"Takeaway ice cream, ice cream products, milkshakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,3,2,2
,Salt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,3,4,3,3,3,3,4,3,3,4,4,5,4,4,5,4,5,5,1,1,1,1,1,2,1,2,3
,Artificial sweeteners,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1
,"Other miscellaneous payments, expenditure only",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,21,26,26,26,26,37,29,33,35
,,Vinegar,2,2,3,3,3,4,4,5,5,6,6,7,8,8,8,9,9,11,12,11,11,11,11,11,11,10,13,15,15,15,18,17,18,18,22,21,20,20,21,21,21,21,1,1,2,2,1,3,2,2,2
,,Spices and dried herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,6,5,5,6,7,7,7,7,7,8,7,7,9,9,10,11,13,10,13,14
,,"Bisto, gravy granules, stuffing mix, baking powder, yeast",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,6,5,6,6,6,6,6,7,7,6,7,7,8,9,8,8,12,9,11,10
,,Wine and beer making kits,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
,,"Fruit teas, instant tea, herbal tea, rosehip tea",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,4,4,4,6,3,3,3
,,"Other payments for food and drink, type not specified",2,2,3,3,3,4,4,5,5,6,6,7,8,8,8,9,9,11,12,11,11,11,11,11,11,10,13,2,2,2,5,3,3,4,6,5,3,3,3,3,2,2,1,2,2,2,2,3,4,4,5
,Soya and novel protein foods,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,3,4,3,3,3,3,4,3,3,4,4,5,4,4,5,4,5,5,5,6,6,7,10,10,9,11,8
Soft drinks,,,,,,,,,,,,,,,,,,,,,47,49,48,54,56,57,57,61,65,72,74,83,81,77,81,79,81,85,89,93,96,100,95,93,92,92,100,112,111,124,119,123,141
,"Soft drinks, concentrated, not low calorie [note 10]",,,,,,,,,,,,,,,,,,,,14,12,11,10,11,11,10,11,12,10,10,11,11,10,11,10,10,11,10,8,8,8,7,7,7,6,6,6,6,7,8,6,6
,"Soft drinks, not concentrated,  not low calorie",,,,,,,,,,,,,,,,,,,,22,23,23,27,28,28,28,31,33,41,44,50,51,47,47,47,48,52,52,51,51,52,51,46,46,41,47,50,47,48,49,47,54
,"Soft drinks, concentrated, low calorie [note 10]",,,,,,,,,,,,,,,,,,,,2,3,4,4,3,4,4,4,3,3,3,2,2,2,3,3,3,3,4,6,7,8,8,7,7,9,6,8,9,10,8,8,10
,"Soft drinks, not concentrated, low calorie",,,,,,,,,,,,,,,,,,,,10,11,11,13,14,14,15,15,17,17,18,19,17,17,20,20,19,20,23,28,30,32,30,32,32,37,40,48,48,59,53,61,70
Confectionery,,,,,,,,,,,,,,,,,,,,,56,60,60,63,70,72,71,67,84,81,77,81,84,78,80,83,87,93,96,101,102,104,110,113,114,112,122,116,132,152,133,138,143
,Chocolate bars - solid,,,,,,,,,,,,,,,,,,,,13,14,13,15,17,16,17,15,19,18,17,18,20,20,20,21,22,23,25,26,29,31,33,32,32,34,37,35,41,52,46,47,46
,Chocolate bars - filled,,,,,,,,,,,,,,,,,,,,27,29,30,31,34,38,37,34,46,39,36,39,40,36,37,39,40,44,45,47,43,44,47,48,50,46,52,48,56,58,51,54,58
,Chewing gum,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,4,3,4,4,3,3,3,4
,Mints and boiled sweets,,,,,,,,,,,,,,,,,,,,13,14,13,14,14,14,14,14,15,19,19,19,18,17,17,18,19,20,21,22,24,24,25,25,25,25,27,27,28,33,29,31,32
,,Mints,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2
,,Boiled sweets,,,,,,,,,,,,,,,,,,,11,13,12,13,12,12,11,12,12,16,17,16,16,15,15,16,16,18,18,20,22,22,23,24,23,23,25,25,26,31,28,29,30
,"Fudges, toffees, caramels",,,,,,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,6,4,2,3
,Takeaway confectionery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcoholic drinks,,,,,,,,,,,,,,,,,,,,,151,158,152,180,187,193,211,208,239,244,249,265,266,265,273,281,262,289,307,308,330,324,330,332,328,351,385,380,392,482,395,360,364
,Beers,,,,,,,,,,,,,,,,,,,,18,18,19,21,23,25,21,21,24,20,20,19,18,16,19,20,17,21,21,19,21,20,19,22,23,28,25,26,28,48,34,35,31
,Lagers and continental beers,,,,,,,,,,,,,,,,,,,,26,27,26,31,33,35,36,36,42,46,45,51,49,47,49,47,45,48,48,48,49,51,50,47,48,56,54,56,60,73,62,46,54
,Ciders and perry,,,,,,,,,,,,,,,,,,,,7,6,7,10,11,8,9,8,8,7,6,8,7,7,8,11,11,13,14,15,15,17,16,16,15,14,17,19,16,20,16,18,17
,Wine and champagne,,,,,,,,,,,,,,,,,,,,49,56,55,65,67,75,97,90,103,107,110,118,131,134,133,139,130,143,153,156,164,161,160,165,161,169,190,190,184,232,181,171,175
,,"Champagne, sparkling wines and wine with mixer",,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,7,7,8,10,8,12,11,7,8,16,10,13,16,18,19,20,19,24,30,22,28,27,17,22
,,Table wine,,,,,,,,,,,,,,,,,,,49,55,54,64,66,74,96,89,102,100,103,110,121,126,121,128,123,135,137,145,150,145,141,145,141,150,166,160,162,204,154,154,153
,Spirits with mixer,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3
,Fortified wines,,,,,,,,,,,,,,,,,,,,11,9,10,9,10,10,8,9,10,9,10,8,8,8,7,7,7,6,6,7,7,7,7,6,7,6,7,5,6,7,5,5,4
,Spirits,,,,,,,,,,,,,,,,,,,,37,39,33,40,40,36,36,40,45,46,45,47,44,42,46,47,43,48,54,51,61,58,65,60,60,67,76,72,83,85,81,70,68
,Liqueurs and cocktails,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,3,3,3,4,5,6,6,5,6,7,6,7,7,9,7,9,8,10,12,12,9,13,10,10,13,11,12,12
,Alcopops,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,1,3,6,6,6,4,4,4,2,3,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
